,Author,cm_tot,cm_min,cm_max,cm_avg,rd_tot,rd_min,rd_max,rd_avg,f_count,correct_author,grouping
6825,Victor Rezende dos Santos,-0.7549375764159705,-0.3708196523568873,-1.886622595187362,-1.2339026922238983,-0.6233750597128613,0.3943954509832483,-0.4404763615587081,0.26036675836564566,-0.8067484114232797,0,759
6826,Khalid Alqinyah,0.0035938806908195,0.5014661451358438,-0.7734311245070502,0.2630013762771856,0.10701939090321295,-0.36416256758325466,-0.040721178649531314,0.4567004370201353,1.397447099022313,0,759
6827,stawny,-0.6732850406151726,0.5014661451358438,-1.4800834452685667,-0.4737463163370338,-0.6857898010781719,0.0739648701469828,-1.2662450019464555,-0.6282937002824065,-0.9660878459133224,0,759
6828,Yoann Rodière,-0.6512052441396273,-0.998165264494927,0.14527061449477546,0.031697583801700305,-0.694195942270981,-0.4441660327984781,-0.2912198029419601,-0.4639875950830412,-0.6474089769332368,0,759
6829,marko.bekhta,-0.790619021338399,0.0667585006617054,0.14527061449477546,-0.00473984181243029,-0.8142919206563415,0.24191983328429176,-0.08079631617734324,-0.2937330426169047,-0.8333049838382868,0,759
6830,marko-bekhta,1.9591616713438356,-0.43168653252362993,0.14527061449477546,0.15162259021387336,1.6112324162027747,-1.3138027500722926,0.13419440969188606,-0.42857272755476744,1.5567865335123556,1,759
6831,Emmanuel Bernard,0.40857382278366117,-0.5540144626249801,-1.3773717687527909,-0.9704841830189074,0.7911528941517736,-0.816776804274982,-0.06424009814661152,-0.6632519127344693,1.0256550852122128,0,760
6832,Kevin Pollet,0.003202717420230496,-0.6382170089243322,-0.05421410303755447,-0.2420466409235233,-0.05022928598497609,-0.1053939661312086,-0.015138523683721648,-0.5868716530260785,-0.11627752863309404,0,760
6833,kevin pollet,-0.8165777859439022,-0.43328062798027356,-2.3736483335263565,-1.4761138097245305,-0.7469893991727677,1.527210399419852,-1.0615979467195973,-0.14418984168996615,-0.7270786941782582,0,760
6834,Victor Rezende dos Santos,-0.74051020395683,-0.16786383262204366,-1.8328774994693044,-1.0713986281173715,-0.6307200993393308,0.2838977668179405,-0.3260927749312081,0.17582498398179663,-0.8067484114232797,0,760
6835,Khalid Alqinyah,-0.05065594203442505,0.4998572947324086,-0.9499463852370101,0.07841396833132451,0.03766501621071036,-0.35981897609486846,-0.2392297730773307,0.21555567061568928,1.397447099022313,0,760
6836,stawny,-0.6734488164650333,0.4998572947324086,-1.481622115498827,-0.4754720077930281,-0.7024069487468363,-0.2478546291353411,-1.4584108558799884,-0.8072182771483245,-0.9660878459133224,0,760
6837,Yoann Rodière,-0.6270237810515259,-0.8793983980278488,0.4522044220156786,0.3137952698164342,-0.7071440491370428,-0.3980084979732763,-0.48964296003070296,-0.61834357430787,-0.6474089769332368,0,760
6838,marko.bekhta,-0.7866383692395618,0.12232246030826674,0.4522044220156786,0.10361490899735402,-0.8223407747623084,0.40356944479758255,-0.2794346451441091,-0.5176196022535426,-0.8333049838382868,0,760
6839,marko-bekhta,2.050771094029349,-0.3594278190581948,0.4522044220156786,0.24601908435688347,1.4734413825538524,-1.0960504583618889,-0.06424009814661152,-0.5741216816043951,1.5833431059273628,1,760
6840,Emmanuel Bernard,0.3792050489363935,-0.6049698245164415,-1.42862142025901,-1.0114805090787855,0.8505247707393941,-0.7652499229635765,0.23311623866053824,-0.5785603528321956,1.0256550852122128,0,761
6841,Kevin Pollet,-0.055154393583529124,-0.7039881492631306,-0.2716350514575924,-0.4078032770014872,-0.09091258773582496,-0.035147239686433955,0.28221781312342864,-0.7049563351812376,-0.11627752863309404,0,761
