,Author,cm_tot,cm_min,cm_max,cm_avg,rd_tot,rd_min,rd_max,rd_avg,f_count,correct_author,grouping
17072,adrobisch,-1.0001078846092548,-0.44721230213882024,-0.9999990715770384,-0.9999991811425941,-0.45109458177713974,0.40885706867148236,0.5949710640637385,-0.42995766402208885,-0.4642254138759092,0,2846
17073,rbrodt,0.9999999947679347,-0.4472132721726512,0.9999999999997502,0.9999999999997959,-0.43072585695554616,0.32022459539027837,0.06515012723093679,-0.2995319985927382,-0.445623965698693,0,2846
17074,Flavio Donzé,-0.9998168266675561,-0.44721466242055635,-1.0000004446231672,-1.000000933946029,-0.3859082029877821,0.1424875682153677,-0.15519877381419275,0.041819156291218955,-0.4195819382505903,0,2846
17075,Paul Leacu,-1.0000911139105901,-0.4472116227064874,-1.000000903193144,-0.9999997418863918,-0.4490539480147029,0.09326137992653363,-1.3299985564064472,-0.7953102165923758,-0.445623965698693,0,2846
17076,Bob Brodt,0.9999999947679347,-0.44721532387111146,0.9999999999997502,0.9999999999997959,2.0984438505859484,-1.260509665652377,1.0624355128021186,-0.052994519217813445,2.2367048614558858,1,2847
17077,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.45174621115631225,0.6363355373529289,-0.9531182312039999,-0.383264272420928,-0.46050512424046597,0,2847
17078,adrobisch,-1.000107125560204,-0.4472120469449389,-0.9999989152648925,-0.99999902934269,-0.4508267199997827,0.554981179843744,0.9092029635387645,-0.18939311206840082,-0.4642254138759092,0,2847
17079,rbrodt,0.9999999947679347,-0.4472131187760654,0.9999999999997502,0.9999999999997959,-0.43050483720143584,-0.28884298419569565,0.37560205410981723,-0.2694568319396364,-0.445623965698693,0,2847
17080,Flavio Donzé,-0.9998944359633448,-0.44721550339291066,-1.0000009738343976,-1.0000018363208139,-0.3815870695993662,0.21621013919104293,0.15645369382254135,0.26744565937423026,-0.4195819382505903,0,2847
17081,Paul Leacu,-1.000101539254694,-0.44721318019545586,-1.000002104914861,-1.0000009001823709,-0.44959599045354626,-0.5392251176056272,-1.1625103434372357,-1.0657569076822864,-0.445623965698693,0,2847
17082,Bob Brodt,0.9999999947679347,-0.4472165082689359,0.9999999999997502,0.9999999999997959,1.6625275115987674,-1.5946527033896691,1.1054213409307365,-0.6488743210023429,2.2367048614558858,1,2848
17083,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.45240184805475714,-0.14264980635087862,-1.1743702365437982,-1.1192921889218574,-0.46050512424046597,0,2848
17084,adrobisch,-1.000111708111162,-0.4472132835702245,-0.9999998697750856,-0.9999999457930759,-0.4505998264260156,0.9440617669999248,-0.6032691472562046,0.0143782190002034,-0.4642254138759092,0,2848
17085,rbrodt,0.9999999947679347,-0.4472149906799719,0.9999999999997502,0.9999999999997959,-0.4322732598157235,0.06088139504642498,-0.6905848645437627,-0.5100941679637708,-0.445623965698693,0,2848
17086,Flavio Donzé,-0.9998566007104258,-0.4472141754856551,-0.9999998927034205,-1.0000013964047205,-0.39610719248725573,-0.12081696513735282,-0.7264125963498208,-0.4907175948110615,-0.4195819382505903,0,2848
17087,Paul Leacu,-1.0000945295078003,-0.4472119384493528,-1.0000013077364498,-1.0000001213724283,-0.4482339650162278,0.8671612891855492,-1.0765617285260476,-0.3861878438851897,-0.445623965698693,0,2848
17088,Bob Brodt,0.9999999947679347,-0.44721555980243277,0.9999999999997502,0.9999999999997959,1.6625275115987674,-1.5946527033896691,1.1054213409307365,-0.6488743210023429,2.2367048614558858,1,2849
17089,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.45240184805475714,-0.14264980635087862,-1.1743702365437982,-1.1192921889218574,-0.46050512424046597,0,2849
17090,adrobisch,-1.0001080252082042,-0.44721231575580916,-0.9999991819646216,-0.9999992092605491,-0.4505998264260156,0.9440617669999248,-0.6032691472562046,0.0143782190002034,-0.4642254138759092,0,2849
17091,rbrodt,0.9999999947679347,-0.4472144292151813,0.9999999999997502,0.9999999999997959,-0.4322732598157235,0.06088139504642498,-0.6905848645437627,-0.5100941679637708,-0.445623965698693,0,2849
17092,Flavio Donzé,-0.9998150473050811,-0.44721357429514635,-0.9999996537575638,-1.000000913257118,-0.39610719248725573,-0.12081696513735282,-0.7264125963498208,-0.4907175948110615,-0.4195819382505903,0,2849
17093,Paul Leacu,-1.0000902449253293,-0.4472112835388783,-1.0000008505287743,-0.9999996453387744,-0.4482339650162278,0.8671612891855492,-1.0765617285260476,-0.3861878438851897,-0.445623965698693,0,2849
17094,Bob Brodt,0.9999999947679347,-0.4472160810204833,0.9999999999997502,0.9999999999997959,2.173230531663649,-1.26716082689868,2.1067157705927446,0.049235814245335595,2.2367048614558858,1,2850
17095,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.451453986113807,0.7393966708349405,-0.45852298979642797,-0.05520801186766108,-0.46050512424046597,0,2850
17096,adrobisch,-1.0001100342587737,-0.44721284377998644,-0.9999995571365734,-0.9999996110444432,-0.4496183048492239,2.0511970774790727,-0.34580286602983207,0.8958750144128674,-0.4642254138759092,0,2850
17097,rbrodt,0.9999999947679347,-0.44721474127822647,0.9999999999997502,0.9999999999997959,-0.42883994993872476,-0.6562690135348915,0.2748490981376973,-0.04290802372918307,-0.445623965698693,0,2850
17098,Flavio Donzé,-0.9998397806464119,-0.447213963507083,-0.9999997916665906,-1.0000012008353434,-0.398096472311093,-0.6840959877338347,0.34425934995164537,-0.5945871609552656,-0.4195819382505903,0,2850
17099,Paul Leacu,-1.0000927361207,-0.4472116654476907,-1.0000011165272693,-0.9999999221201978,-0.4455465251872092,0.7036420940951762,-0.22404989301163197,0.9546835661326342,-0.445623965698693,0,2850
17100,Bob Brodt,0.9999999947679347,-0.4472160810204833,0.9999999999997502,0.9999999999997959,1.7228516646667122,-1.0254977616527852,1.4387158296039624,-0.5664136716574233,2.2367048614558858,1,2851
17101,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.45216782936175054,-0.10155552806526771,-1.1200390507037583,-0.856579258267011,-0.46050512424046597,0,2851
17102,adrobisch,-1.0001100342587737,-0.44721284377998644,-0.9999995571365734,-0.9999996110444432,-0.4504487508235898,1.0161096029464118,-1.0012310148239671,0.15005802732253987,-0.4642254138759092,0,2851
17103,rbrodt,0.9999999947679347,-0.44721474127822647,0.9999999999997502,0.9999999999997959,-0.4335492613791394,-0.07630656055644387,-0.3701219073043411,-0.6837255242370017,-0.445623965698693,0,2851
17104,Flavio Donzé,-0.9998397806464119,-0.447213963507083,-0.9999997916665906,-1.0000012008353434,-0.4048217470745299,-0.24676190734849368,-0.33498907356201224,-0.9457450842942079,-0.4195819382505903,0,2851
17105,Paul Leacu,-1.0000927361207,-0.4472116654476907,-1.0000011165272693,-0.9999999221201978,-0.44777419738323776,0.4579949335210744,-0.8772114961829633,-0.15679134999118288,-0.445623965698693,0,2851
17106,Bob Brodt,0.9999999947679347,-0.4472164547691646,0.9999999999997502,0.9999999999997959,1.853442616306052,-1.5946527033896691,1.2572049591087449,-0.3879011833242269,2.2367048614558858,1,2852
17107,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4520306537181291,0.3621924243347586,-0.9467655981661013,-0.7025838022320815,-0.46050512424046597,0,2852
17108,adrobisch,-1.0001143385360716,-0.44721397470348856,-1.000000361077192,-1.0000004718437288,-0.4502032603017679,1.3703669136590857,-0.3496606440642042,0.37053113092721834,-0.4642254138759092,0,2852
17109,rbrodt,0.9999999947679347,-0.4472153765397793,0.9999999999997502,0.9999999999997959,-0.4293185755849794,0.53401993435578,-0.5078696080729542,-0.10803679981301516,-0.445623965698693,0,2852
17110,Flavio Donzé,-0.9998775877403698,-0.44721418433199583,-0.9999999612465141,-1.0000016404240282,-0.38737080982754196,0.1053951750157717,-0.7014703598406187,-0.03455035998545429,-0.4195819382505903,0,2852
17111,Paul Leacu,-1.0000972134135888,-0.44721234084425365,-1.0000016079064253,-1.0000004195647232,-0.44784339740010637,0.23184360486297723,-0.9200872631608391,-0.19131801108698196,-0.445623965698693,0,2852
17112,Bob Brodt,0.9999999947679347,-0.4472165082689359,0.9999999999997502,0.9999999999997959,1.853442616306052,-1.5946527033896691,1.2572049591087449,-0.3879011833242269,2.2367048614558858,1,2853
17113,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4520306537181291,0.3621924243347586,-0.9467655981661013,-0.7025838022320815,-0.46050512424046597,0,2853
17114,adrobisch,-1.000111708111162,-0.4472132835702245,-0.9999998697750856,-0.9999999457930759,-0.4502032603017679,1.3703669136590857,-0.3496606440642042,0.37053113092721834,-0.4642254138759092,0,2853
17115,rbrodt,0.9999999947679347,-0.4472149906799719,0.9999999999997502,0.9999999999997959,-0.4293185755849794,0.53401993435578,-0.5078696080729542,-0.10803679981301516,-0.445623965698693,0,2853
17116,Flavio Donzé,-0.9998566007104258,-0.4472141754856551,-0.9999998927034205,-1.0000013964047205,-0.38737080982754196,0.1053951750157717,-0.7014703598406187,-0.03455035998545429,-0.4195819382505903,0,2853
17117,Paul Leacu,-1.0000945295078003,-0.4472119384493528,-1.0000013077364498,-1.0000001213724283,-0.44784339740010637,0.23184360486297723,-0.9200872631608391,-0.19131801108698196,-0.445623965698693,0,2853
17118,Bob Brodt,0.9999999947679347,-0.44721665131783583,0.9999999999997502,0.9999999999997959,1.8556640919680427,-1.5946527033896691,1.4108981834141152,-0.38486451697623514,2.2367048614558858,1,2854
17119,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4520857634593408,0.16480923209225304,-0.8930635459775175,-0.7644508327472161,-0.46050512424046597,0,2854
17120,adrobisch,-1.0001131245008692,-0.4472136557227692,-1.0000001343226155,-1.0000002290525323,-0.45011880849844227,1.6057777751332407,-0.9239038076445262,0.44637663015880036,-0.4642254138759092,0,2854
17121,rbrodt,0.9999999947679347,-0.4472151984672679,0.9999999999997502,0.9999999999997959,-0.42942409200477305,0.24110202276878412,-0.26282526101264625,-0.12239490062038004,-0.445623965698693,0,2854
17122,Flavio Donzé,-0.9998683364256105,-0.44721420171059023,-0.9999999559017441,-1.0000015328576204,-0.39348256184674124,-0.0624846891081656,-0.36226087751174224,-0.35367340291193045,-0.4195819382505903,0,2854
17123,Paul Leacu,-1.0000959807183498,-0.44721215550274157,-1.0000014695280235,-1.0000002826075232,-0.44718225371180953,1.4245556754318287,-0.8289459523976208,0.1385530654590025,-0.445623965698693,0,2854
17124,Bob Brodt,0.9999999947679347,-0.4472165082689359,0.9999999999997502,0.9999999999997959,1.8556640919680427,-1.5946527033896691,1.4108981834141152,-0.38486451697623514,2.2367048614558858,1,2855
17125,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4520857634593408,0.16480923209225304,-0.8930635459775175,-0.7644508327472161,-0.46050512424046597,0,2855
17126,adrobisch,-1.000111708111162,-0.4472132835702245,-0.9999998697750856,-0.9999999457930759,-0.45011880849844227,1.6057777751332407,-0.9239038076445262,0.44637663015880036,-0.4642254138759092,0,2855
17127,rbrodt,0.9999999947679347,-0.4472149906799719,0.9999999999997502,0.9999999999997959,-0.42942409200477305,0.24110202276878412,-0.26282526101264625,-0.12239490062038004,-0.445623965698693,0,2855
17128,Flavio Donzé,-0.9998566007104258,-0.4472141754856551,-0.9999998927034205,-1.0000013964047205,-0.39348256184674124,-0.0624846891081656,-0.36226087751174224,-0.35367340291193045,-0.4195819382505903,0,2855
17129,Paul Leacu,-1.0000945295078003,-0.4472119384493528,-1.0000013077364498,-1.0000001213724283,-0.44718225371180953,1.4245556754318287,-0.8289459523976208,0.1385530654590025,-0.445623965698693,0,2855
17130,Bob Brodt,0.9999999947679347,-0.4472165082689359,0.9999999999997502,0.9999999999997959,1.9516646847886423,-1.3241724903030527,1.5263925639417024,-0.2536356340349576,2.2367048614558858,1,2856
17131,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4519877500852809,-0.277558560868764,-0.7371202828910882,-0.654419533914517,-0.46050512424046597,0,2856
17132,adrobisch,-1.000111708111162,-0.4472132835702245,-0.9999998697750856,-0.9999999457930759,-0.4499619900465778,1.8976140986275905,-0.8226911092081775,0.5872140463182529,-0.4642254138759092,0,2856
17133,rbrodt,0.9999999947679347,-0.4472149906799719,0.9999999999997502,0.9999999999997959,-0.4277583190100774,0.552712005751102,-0.16502163238876172,0.10427443318361686,-0.445623965698693,0,2856
17134,Flavio Donzé,-0.9998566007104258,-0.4472141754856551,-0.9999998927034205,-1.0000013964047205,-0.3904073855576598,0.09371379909567483,-0.24578131609944098,-0.19310412395162158,-0.4195819382505903,0,2856
17135,Paul Leacu,-1.0000945295078003,-0.4472119384493528,-1.0000013077364498,-1.0000001213724283,-0.44661628822205623,1.6813938194176192,-0.6708919056389021,0.42093592518766565,-0.445623965698693,0,2856
17136,Bob Brodt,0.9999999947679347,-0.44721665131783583,0.9999999999997502,0.9999999999997959,2.009666077089548,-1.3241724903030527,1.6015231094818405,-0.17435010363299394,2.2367048614558858,1,2857
17137,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4518937364248899,-0.2863806153962795,-0.6687450597836548,-0.548878374250763,-0.46050512424046597,0,2857
17138,adrobisch,-1.0001131245008692,-0.4472136557227692,-1.0000001343226155,-1.0000002290525323,-0.44984295353400394,2.0766813721641646,-0.8092431901665648,0.6941198004576659,-0.4642254138759092,0,2857
17139,rbrodt,0.9999999947679347,-0.4472151984672679,0.9999999999997502,0.9999999999997959,-0.4266350811554828,0.7848657188823116,-0.132757894372246,0.2571185343997508,-0.445623965698693,0,2857
17140,Flavio Donzé,-0.9998683364256105,-0.44721420171059023,-0.9999999559017441,-1.0000015328576204,-0.387640568030477,0.24553897702670932,-0.31951902474201777,-0.048635692358981866,-0.4195819382505903,0,2857
17141,Paul Leacu,-1.0000959807183498,-0.44721215550274157,-1.0000014695280235,-1.0000002826075232,-0.44655051607738744,1.5185342719978339,-0.6335111756732453,0.45375228349629615,-0.445623965698693,0,2857
17142,Bob Brodt,0.9999999947679347,-0.44721545010003433,0.9999999999997502,0.9999999999997959,2.049611281973939,-1.260509665652355,1.0165455377339725,-0.11974664273942506,2.2367048614558858,1,2858
17143,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4517618123093294,0.583891336026342,-1.0192034522894278,-0.4007783631889808,-0.46050512424046597,0,2858
17144,adrobisch,-1.0001059152835599,-0.447211727224455,-0.9999986840303966,-0.9999987873031563,-0.45079582069809676,0.7059092497930481,0.8645363398016551,-0.16164269265768116,-0.4642254138759092,0,2858
17145,rbrodt,0.9999999947679347,-0.4472128978117661,0.9999999999997502,0.9999999999997959,-0.4305007362819053,-0.10270013818849666,0.332156006884561,-0.26889880110296055,-0.445623965698693,0,2858
